gene	high_median	low_median	logCPM_difference	p_value	fdr
PRDX2	5.931420956914266	5.265653488885419	0.6657674680288475	0.35452063582978366	0.5116031619471755
TMEM86B	2.366253200586292	2.1932269197511967	0.1730262808350953	0.3545124125224276	0.5116031619471755
CASC11	0.05498652141453255	0.0	0.05498652141453255	0.3546164223383449	0.511674518964196
PTPRN	0.058080101619996355	0.01979384566476445	0.038286255955231906	0.3546164223383449	0.511674518964196
PYY	0.056966250454048045	0.03504993935829525	0.021916311095752795	0.3546164223383449	0.511674518964196
TPTE2P1	0.056975418319261145	0.02658820159749235	0.030387216721768796	0.3568403571284937	0.5148609987472661
LOC101927840	0.0	0.0	0.0	0.35724802892538365	0.5154267511403423
GOLGA6L6	0.0	0.0	0.0	0.35740258180829787	0.5155599166078069
KLHL40	0.0	0.0	0.0	0.35740258180829787	0.5155599166078069
MIR210	0.0	0.0	0.0	0.35740258180829787	0.5155599166078069
TRNAI2	0.0	0.0	0.0	0.35740258180829787	0.5155599166078069
LOC100507670	0.15885566271940516	0.149325125876915	0.009530536842490167	0.3574362140525641	0.5155859798260499
C14orf178	0.051164999515979054	0.0	0.051164999515979054	0.3577577010782702	0.5160272405259417
LOC100505984	0.0	0.0	0.0	0.3579983032942339	0.5163068394324869
RP11-806K15.1	0.0	0.0	0.0	0.3579983032942339	0.5163068394324869
SLC6A2	0.0	0.0	0.0	0.3579983032942339	0.5163068394324869
LOC101928178	0.18087312538469807	0.14913198486968465	0.03174114051501342	0.3581044652613067	0.5164374626141073
FAM47C	0.0	0.0	0.0	0.358156462538034	0.5164899646526018
PRR15	0.057360711900106595	0.0126274781454911	0.04473323375461549	0.35838275346540915	0.5167937964171663
MYEOV	0.3603050013794985	0.46466450122741665	-0.10435949984791815	0.35850774622291093	0.5169515344700364
HOXB8	0.02417384907199635	0.0	0.02417384907199635	0.35888881584448973	0.5174784936739169
LOC101927754	0.0	0.0	0.0	0.3595879504822366	0.5184640020750628
PRSS44	0.0	0.0	0.0	0.35990885479700585	0.5187912068232721
LOC101927029	0.0	0.0	0.0	0.35990885479700585	0.5187912068232721
MIR6804	0.0	0.0	0.0	0.35990885479700585	0.5187912068232721
LOC100131372	0.0	0.0	0.0	0.35990885479700585	0.5187912068232721
SERPINB3	0.0	0.0	0.0	0.35990885479700585	0.5187912068232721
RAET1E-AS1	0.0	0.0	0.0	0.35990885479700585	0.5187912068232721
LOC102724615	0.11331162116136276	0.08829445474871635	0.02501716641264641	0.3600972276120451	0.5190175678491322
ARL9	0.16368138806302096	0.10475264708804015	0.05892874097498081	0.3600972276120451	0.5190175678491322
POTEC	0.0	0.0	0.0	0.3603964976140228	0.519426313085717
LOC102724226	0.0	0.0	0.0	0.36048515153541283	0.5195088806126374
LOC102723375	0.0	0.0	0.0	0.36048515153541283	0.5195088806126374
GGTLC2	0.05248529132474085	0.0185995239744491	0.03388576735029175	0.36107073402722134	0.5203075141545908
BIN3-IT1	0.0	0.0	0.0	0.36106019972475145	0.5203075141545908
LOC101928434	0.2526860267514726	0.2247607913244598	0.027925235427012807	0.3612909419049163	0.5206021898100073
TMEM191B	0.1361664016181354	0.24540858053135373	-0.10924217891321833	0.36174518376159925	0.5212340564283052
AIRE	0.08593356532302296	0.05339813968902385	0.03253542563399911	0.362292287965144	0.5219996664404924
TNKS2-AS1	0.4624113700350072	0.27309555352584924	0.18931581650915796	0.3624124657449921	0.5221501104848907
LOC100506990	1.6156972574967332	1.5587575476708682	0.05693970982586505	0.3631023416636381	0.5226743044845191
RP11-450K4.1	0.0	0.0	0.0	0.36309838615512935	0.5226743044845191
KRTAP10-11	0.0	0.0	0.0	0.36295391425751056	0.5226743044845191
SURF1	4.648326847456427	4.514710688989197	0.13361615846722952	0.3631023416636381	0.5226743044845191
RNASE1	2.99541360617531	2.7038579114768577	0.29155569469845233	0.36309414151142694	0.5226743044845191
ARMC5	2.8769078389654252	2.846075213174729	0.030832625790696344	0.36309414151142694	0.5226743044845191
LOC102723406	0.0	0.0	0.0	0.36295391425751056	0.5226743044845191
CDC34	4.538738823462166	4.542463061797351	-0.0037242383351845376	0.36309414151142694	0.5226743044845191
TRAPPC5	3.470669771960153	3.7660872350760792	-0.2954174631159261	0.3631023416636381	0.5226743044845191
NFIB	3.170683807239956	2.9947847253885094	0.17589908185144676	0.3631023416636381	0.5226743044845191
