sample	gsm	coo	IFI16	AIM2	MNDA	PYHIN1
GSM4451428_LM160087	GSM4451428	ABC	7.368865264288424	5.991385044007319	3.435506254735257	2.4379167250773954
GSM4451429_LM160088	GSM4451429	ABC	7.054672448828225	5.2994771123958415	2.515354983629405	2.740345286562901
GSM4451430_LM160095	GSM4451430	GCB	5.8394212551230655	4.083621697291887	1.3354897430763115	4.724728557413429
GSM4451431_LM160098	GSM4451431	Type_3	6.835356822155551	3.849624783979688	4.766030882735438	3.4361520137107395
GSM4451432_LM160102	GSM4451432	GCB	6.901732456536122	3.7661589608389177	3.656804627139897	4.244418038069931
GSM4451433_LM160111	GSM4451433	Type_3	6.517502943646667	4.520731947691748	2.635006138095508	4.427592766169365
GSM4451434_LM160112	GSM4451434	GCB	7.9129539510859	6.875863881260133	6.209747209695852	4.248477205475424
GSM4451435_LM160113	GSM4451435	ABC	7.993504436842964	6.472107855413017	4.257453602362525	5.553085820829773
GSM4451436_LM160115	GSM4451436	ABC	6.802963639169301	4.992692044885432	3.457750818015635	4.229855434604309
GSM4451437_LM160117	GSM4451437	Type_3	6.790390738558028	5.879570683049294	4.493460761821423	4.033428465405264
GSM4451438_LM160118	GSM4451438	ABC	7.5454089003678	5.585781062439962	3.0217270542645718	4.838805886669776
GSM4451439_LM160120	GSM4451439	ABC	4.675383620644166	3.6255707910269366	2.285032848991148	2.4992913197899043
GSM4451440_LM160123	GSM4451440	ABC	7.634774721035336	5.515622672395882	7.191006230221638	1.2628003602499471
GSM4451441_LM160131	GSM4451441	GCB	5.540549885921289	5.70690480841757	1.0176874724169531	0.678675175233205
GSM4451442_LM160136	GSM4451442	ABC	6.146269993355377	5.714034852262135	4.063646337805587	2.847048577937501
GSM4451443_LM160137	GSM4451443	Type_3	6.619689927075437	6.399449217575214	2.568659360189322	3.070194930846034
GSM4451444_LM160144	GSM4451444	GCB	7.082257598359451	6.367175451656719	2.7107925980885	2.141897995384863
GSM4451445_LM160149	GSM4451445	Type_3	7.501109221063632	6.169714257839832	3.033856491198464	1.8636818273224336
GSM4451446_LM170006	GSM4451446	ABC	3.72449459794652	1.981188236599154	1.675706283850652	0.7829675327708204
GSM4451447_LM170009	GSM4451447	Type_3	6.241352669235562	2.490820593185292	3.952245713860578	2.978217501270501
GSM4451448_LM170010	GSM4451448	ABC	7.024913216756378	5.881148476694013	3.46921088884868	3.0747424036288185
GSM4451449_LM170015	GSM4451449	ABC	5.689704862643921	4.825855476074868	4.312984125648084	2.725065092793241
GSM4451450_LM170024	GSM4451450	Type_3	7.014678493398482	7.143016987643714	3.5486710463627125	3.287834407251233
GSM4451451_LM170027	GSM4451451	ABC	6.116830721379876	5.109972566179967	4.780315467032637	3.0459713324151525
GSM4451452_LM170040	GSM4451452	ABC	4.483230315321346	2.243400488414059	1.639554667675079	0.4496151709876063
GSM4451453_LM170052	GSM4451453	ABC	6.65949060406984	5.326475208285939	4.342074401641025	3.459127734550489
GSM4451454_LM170055	GSM4451454	GCB	6.667057813961401	5.342695436054832	2.4142018008399364	1.7786352825434917
GSM4451455_LM170058	GSM4451455	Type_3	6.9904169472192645	5.935874586675856	4.782948174058897	4.115158084665367
GSM4451456_LM170060	GSM4451456	ABC	7.45272201468939	6.191610613412373	3.609161979523229	2.3410852428076767
GSM4451457_LM170062	GSM4451457	GCB	7.370949313936386	5.881045464756332	1.3865417502658013	2.556081878656636
GSM4451458_LM170066	GSM4451458	Type_3	5.584809773837454	4.13395938235174	3.560293745407502	2.3482292794584514
GSM4451459_LM170067	GSM4451459	ABC	6.485981069641642	6.627602043204964	3.75775197830478	3.2316308970853043
GSM4451460_LM170070	GSM4451460	ABC	0.4843147100506223	0.1801144188821948	0.0	0.0
GSM4451461_LM170073	GSM4451461	GCB	7.607393085522392	6.561093153681207	2.6812203408759463	4.568626597550448
GSM4451462_LM170076	GSM4451462	ABC	7.526518582251177	6.083708356695229	3.584248095336748	5.279286455857169
GSM4451463_LM170082	GSM4451463	GCB	8.128806961529211	6.387031148992423	2.809365598473229	3.685203210218461
GSM4451464_LM170089	GSM4451464	ABC	7.260036919915264	4.428498366016355	4.3634187792669055	4.904274004237108
GSM4451465_LM170103	GSM4451465	ABC	8.124126552256653	4.711460338788911	6.0397392527360365	5.084587715396764
GSM4451466_LM170110	GSM4451466	GCB	7.060117780446982	7.435572200990003	4.125492550248636	4.339814831568276
GSM4451467_LM180008	GSM4451467	GCB	7.766829279996662	6.859193172672919	3.8259317261192334	4.821682770220189
GSM4451468_LM180010	GSM4451468	Type_3	6.579732077699626	5.8177867585864025	5.8650422193511575	4.21784827625161
GSM4451469_LM180012	GSM4451469	ABC	6.278834564634095	6.5747131332715565	4.24216066794761	2.5108062812049217
GSM4451470_LM180015	GSM4451470	Type_3	6.840010306891186	4.507281390609036	3.178935122582778	4.4194834274928025
GSM4451471_LM180019	GSM4451471	GCB	6.487900697884882	4.631764872792236	2.6415356527313447	3.1232480765813526
GSM4451472_LM180029	GSM4451472	GCB	7.103974758160533	6.04524648578578	4.256063376415447	3.177559977130902
GSM4451473_LM180034	GSM4451473	ABC	6.757977613769396	6.144532663396308	6.271930548238393	3.401021047670352
GSM4451474_LM180077	GSM4451474	ABC	7.729983276516705	5.384773934812141	4.8860116310032655	4.835108811588873
GSM4451475_LM180078	GSM4451475	Type_3	7.346691849805544	5.593250411690407	4.89663722347099	4.0153678760535545
GSM4451476_LM180079	GSM4451476	GCB	7.8247954519445075	5.971297642234445	2.2746234492681507	1.9407487303589144
GSM4451477_LM180081	GSM4451477	ABC	7.767909233322564	7.201725829805822	5.134911594002806	4.810951858187464
GSM4451478_LM180093	GSM4451478	GCB	7.715439615194067	7.158955990278069	4.527072635477941	3.137806550637847
GSM4451479_LM180107	GSM4451479	Type_3	6.81303213626933	4.899227473600111	3.523292391807728	4.830802567357963
GSM4451480_LM180109	GSM4451480	ABC	4.4838617665810965	3.211345488584429	1.6804132023899896	1.8547274741924664
GSM4451481_LM180117	GSM4451481	Type_3	7.621651233929632	6.803910101991399	5.20561454970885	5.41462937905158
GSM4451482_LM180118	GSM4451482	ABC	7.462933077165355	6.30296257970368	5.7753673160508905	1.92150453220696
GSM4451483_LM180119	GSM4451483	ABC	7.294180271900839	6.250044643748052	4.938061422228155	5.003516074259843
GSM4451484_LM180122	GSM4451484	ABC	7.497176056169055	6.523125998936943	4.850120922617941	4.398736962607434
GSM4451485_LM180123	GSM4451485	GCB	7.347492625852852	6.2484287786034285	3.0600278475277785	4.3863579804122566
GSM4451486_O140100	GSM4451486	Type_3	3.1626950764170774	3.178759800360226	1.1613738736501191	1.4354392680944406
